Suggested phrase or words
NODDING
ORAL FEEDBACK
CLOSE FACE / NODDING
NODDING
SHAKING
SMILING
WIDER EYES
RAISING EYEBROWS
SMILING
SMILING
NODDING
NODDING
INQUISITIVE FACIAL
SWAY
OTHERS
SMILING
WIDER EYES
WIDER EYES
NODDING
RAISING EYEBROWS
GAZING
WRINKLE ON FOREHEAD
OTHERS
NODDING
WIDER EYES
SMILING
HEAD
SMILING
NODDING
SMILING
NODDING
NODDING
SMILING
""
NODDING
NODDING
SMILING
GAZING
AGREED
HEAD
SMILING
RAISING EYEBROWS
GAZING
GAZING
NODDING
SHY
""
NODDING
NODDING
NODDING
SWAY
RAISING HAND
WIDER EYES
OTHERS
""
""
INTERESTED FACE
HEAD
SMILING
SLIGHT NODDING
SMILING
""
""
NODDING
""
GAZING
NODDING
RAISING YOUR HAND
NODDING
NODDING
