Suggested phrase or words
NODDING
NODDING
""
NODDING
NODDING
NODDING
NODDING
NODDING
NODDING
NODDING
NODDING
A FACIAL EXPRESSION OF APPROVAL.
SWAY
OTHERS
NODDING
NODDING
NODDING
NODDING
NODDING
NODDING
NODDING
NODDING
NODDING
RAISING EYEBROWS
KNOCKING THE HEAD
NODDING
NODDING
NODDING
NODDING
NODDING
NODDING
OTHERS
LOOKING POSITIVE
SMILING / NODDING
NODDING
FACING
""
NODDING
NODDING
NODDING
""
NODDING
SMILING / NODDING
FACING
NODDING
NODDING
 FACING UP
""
NODDING
NODDING
NODDING
NODDING
SHAKING
""
RAISING EYEBROWS
NODDING
OTHERS
NODDING
""
NODDING
""
NODDING
NODDING
NODDING
NODDING
NODDING
RAISING EYEBROW
RAISING HEAD
NODDING/SMILING
NODDING
NODDING
NODDING
RAISING HEAD
NODDING
EYES
FACING
NODDING
NODDING
""
NODDING
NODDING
