Suggested Phrase or words.2
""
""
SHAKING
SLOUCH 
""
""
STAND IN DIFFERENT POSTURES
OTHER
CALM 
""
""
FULLY STRAIGHT UP
OTHER
CALM 
LOOK DOWN
""
""
""
""
""
""
""
""
LEANING FORWARD
SHRUGGING
FIXING HIM
""
SILLY FACE
""
""
""
""
STALL STILL
""
IT’S HARD TO PUT IT IN WORDS
""
""
ADAPTABLE 
SHRUGGING
GOOD
""
""
SHY
CALM
""
RELAXING YOUR BODY
""
""
""
""
""
""
""
SHAKING
BOWING
""
""
""
""
""
""
""
""
""
OTHER
""
FROWNING
""
""
""
""
ALL OF THEM.
""
RAISING YOUR SHOULDERS
TO BE SILENT AND  PUTTING YOUR HAND ON MOUTH(EXPRESSING TO BE SHOCKED BY SOMETHING TERRIFYING).
OTHER
""
ALL OF THEM.
""
""
""
""
""
""
""
""
