Suggested Phrase or words.2
""
""
""
""
BEND
ATTENTIVENESS
""
SLIGHTLY LEAN TO A PERSON
""
HAPPY
""
""
BENT HAED SLIGHTLY 
MOVING
""
FACING A PERSON
ATTRACT THE INTENTION
""
""
""
""
FACING A PERSON
""
""
FACING A PERSON
KNOCKING HEAD
HEAD UP
""
""
""
""
SHAKING 
""
OTHERS
""
""
""
""
""
""
""
STAND STILL
""
""
HAPPINESS
""
""
""
""
""
SHAKING
""
""
OTHERS
""
""
STAND STILL
""
""
""
""
""
LEAN INTO THE PERSON SPEAKING
""
OTHERS
""
NODDING
HEAD
""
OTHERS
