Suggested Phrase or words.2
""
""
""
""
NODDING
BOWING
MOVING
KNEELING
""
""
RAISING SHOULDERS
""
NODDING
NODDING
""
CALM
""
""
""
""
SWAY
MOVING
""
ANY
STABLE
STANDING STRAIGHT
""
""
""
""
ATTENTIVE
""
""
""
""
STANDING UP
""
"THUMBS UP,NODDING,RAISING HAND"
KNOCKING HEAD
NODDING
""
NODDING
""
""
""
""
""
BODY SHAKE
""
""
""
""
HEAD AND HAND
""
ADAPTABLE
RAISE HEAD
""
""
""
FACE
TWERKING
""
EXPLAINING
""
""
HAPPINESS
SHAKING
""
""
""
""
""
HEAD
""
""
""
""
SHAKING
MOVING
SIGN FOR SHOWING
""
OTHERS
RAISING FOREHEAD AGREEING
EXPLAINING
""
""
""
DANCING
SHAKING
""
""
""
CHEST UP DOWN
""
""
""
SHAKING
""
""
""
""
""
SHOULDER
""
""
""
EYES ROLL
RAISING HAND
SHOULDER
SHAKING SHOULD
""
