Suggested phrase or words.1,Hand
,
THUMBS UP,
,
HANDS TOGETHER,BOTH
OTHER,EITHER
OTHER,BOTH
COUNTING/POINTING/SHAKE HAND,
HANDSHAKE,BOTH
CLASPING HANDS,BOTH
HANDSHAKE,RIGHT
RAISING HAND,RIGHT
CLASPING HANDS,BOTH
PRAYER HANDS,BOTH
THUMBS UP,BOTH
CLASPING HANDS,BOTH
CLASPING HANDS,BOTH
CLASPING HANDS,BOTH
THUMBS UP,RIGHT
HANDSHAKE,RIGHT
CROSSED ARMS ON MY CHEST AND A BOW,
HANDSHAKE,RIGHT
HANDSHAKE,BOTH
THUMBS UP,
OTHER,BOTH
OTHER,RIGHT
OTHER,RIGHT
THUMBS UP,
,
OTHER,BOTH
PRAYER HANDS,BOTH
CLASPING HANDS,
,
PRAYER HANDS,
THUMBS UP,
,
OTHER,BOTH
,
OTHER,BOTH
CROSSED ARMS ON MY CHEST AND A BOW,
HANDSHAKE,
HANDSHAKE,RIGHT
OTHER,BOTH
RAISING HAND,RIGHT
OTHER,RIGHT
CLOSED PALM,
OTHER,BOTH
HANDSHAKE,RIGHT
THUMBS UP,
CLASPING HANDS,BOTH
OTHER,
PRAYER HANDS,BOTH
HANDSHAKE,RIGHT
THUMBS UP,
CLASPING HANDS,BOTH
OTHER,BOTH
OTHER,RIGHT
OTHER,RIGHT
OTHER,RIGHT
THUMBS UP,
OTHER,RIGHT
PRAYER HANDS,
OTHER,EITHER
BY COMBINING BOTH HANDS,BOTH
HANDSHAKE,
OTHER,RIGHT
,
THUMBS UP,
PRAYER HANDS,
THUMBS UP,
OTHER,RIGHT
OTHER,EITHER
OTHER,
OTHER,BOTH
WOULD BE TOUCHING MY CHEST,
OTHER,RIGHT
OTHER,RIGHT
OTHER,BOTH
THUMBS UP,
OTHER,RIGHT
CLASPING HANDS,
OTHER,RIGHT
OTHER,RIGHT
OTHER,BOTH
,
OTHER,RIGHT
,
WAVE,
OTHER,RIGHT
OTHER,BOTH
HANDSHAKE,
,
OTHER,BOTH
OTHER,BOTH
PRAYER HANDS,BOTH
,
CLASPING HANDS,
OTHER,BOTH
THUMBS UP,
OTHER,BOTH
OTHER,LEFT
CLASPING HANDS,BOTH
CLASPING HANDS,BOTH
THUMBS UP,RIGHT
OTHER,RIGHT
OTHER,LEFT
OTHER,BOTH
EYES ROLL BACK,
OTHER,BOTH
OTHER,BOTH
MOSTLY IT DEPENDS ON YOUR DOMINANT ARM.,BOTH
OTHER,EITHER
,
,
,
