Suggested Phrase or words.2
""
""
""
""
TURNING YOUR BACK
""
""
TURNING YOUR BACK
HANDS ON THE HIPS WHEN TALKING
NOT STANDING STRAIGHT
SMILING
OTHERS
HAND SIGNS
""
MOVING AROUND A LOT
""
""
""
""
""
""
""
""
DISRESPECTFUL STREET GESTURES
OTHERS
""
OTHERS
ADAPTABLE
RAISING HEAD
TWERK
""
RAISING SHOULDER
MOVING AROUND A LOT
HAPPINESS
""
""
""
""
NOT GAZING
SHAKING
""
""
""
""
""
""
""
""
""
""
""
""
""
POINTING FINGER
""
PUT HANDS ON PELVIS
OTHERS
TO PROTEST
""
OTHERS
