Suggested phrase or words
SMILNG
SMILNG
SMILNG AND NODDING
SMILNG
""
""
SMILNG
HEAD NODDING
EYE CONTACT
SMILNG
EYE CONTACT
SMILNG
SMILNG AND NODDING
SMILNG
SMILNG
SHAKING
OTHER
SMILNG
SMILNG
HEAD NODDING
SMILNG
SMILNG
SMILNG
EYEBROW RISE
SMILNG
SMILNG
OTHER
A SLIGHT TOUCH ON THE SHOULDER
SMILNG
OTHER
EXCITEMENT 
SMILNG
SMILNG
""
SMILNG
SMILNG
OTHER
SMILNG
SMILNG
""
""
OTHER
HEAD NODDING
OTHER
SMILNG
SMILNG
SMILNG
EYE CONTACT
EYE CONTACT
HUGGING.
SMILNG
SMILNG
FACEPALM
OTHER
HEAD NODDING
EXCITED
""
SMILNG
SHAKE
OTHER
SMILNG
SMILNG
""
SMILNG AND NODDING
SMILNG
WINKING
SMILNG
EYE CONTACT
""
WINKING
SMILNG
HEAD NODDING
""
HEAD NODDING
