Suggested phrase or words.1,Hand
,
,
,
THUMBS UP,RIGHT
THUMBS UP,
THUMBS UP,
,
SHAKING HAND,RIGHT
THUMBS UP,
THUMBS UP,RIGHT
,
A TAP ON THE BACK,
SHAKING HAND,RIGHT
OTHERS,
STRAIGHT FORWARD,
THUMBS UP,
,
,
,
THUMBS UP,
,
,
THUMBS UP,
NODDING/TILTING THE HEAD,
,RIGHT
THUMBS UP,
THUMBS UP,
,RIGHT
THUMBS UP,
,BOTH
THUMBS UP,
OTHERS,
,
NODDING,
THUMBS UP,
,BOTH
,RIGHT
THUMBS UP,
THUMBS UP,
THUMBS UP,
,EITHER
THUMBS UP,
THUMBS UP,
,BOTH
,EITHER
,RIGHT
THUMBS UP,
,RIGHT
,EITHER
THUMBS UP,EITHER
,
THUMBS UP,
,BOTH
,BOTH
,BOTH
,RIGHT
OTHERS,
RAISING HAND,RIGHT
,BOTH
,
,
,
,BOTH
,
,
THUMBS UP,
,
,BOTH
THUMBS UP,BOTH
THUMBS UP,
,
"SAYING ""UHMMM""",
,
THUMBS UP,
,RIGHT
,RIGHT
THUMBS UP,
,BOTH
,BOTH
,EITHER
,BOTH
