Suggested phrase or words.1,Hand
INDEX FINGER,
,
OTHER,
,
HAND RAISING,BOTH
PALM TURNING,
CHIN TOUCH,
FROWN,
HAND RAISING,BOTH
CHIN TOUCH,
,
OTHER,BOTH
OTHER,
OTHER,BOTH
OTHER,
,
THUMBS UP,
SHRUG,
,
,
CHIN TOUCH,EITHER
PALM TURNING,
PALM TURNING,
,
OTHER,
OTHER,RIGHT
PALM TURNING,BOTH
OTHER,RIGHT
,
OTHER,RIGHT
OTHER,
,
HAND RAISING,
INDEX FINGER GESTURE,RIGHT
IT’S HARD TO PUT IT IN WORDS,
,
HAND RAISING,
OTHER,BOTH
OTHER,
OTHER,BOTH
,
HAND RAISING,
SHAKING RIGHT HAND,RIGHT
OTHER,RIGHT
,
OTHER,BOTH
INDEX FINGER,
OTHER,RIGHT
OTHER,EITHER
,
CHIN/FACE TOUCH,
PALM TURNING,
HAND RAISING,
OTHER,BOTH
OTHER,BOTH
CHIN/FACE TOUCH,BOTH
HAND RAISING,RIGHT
NO GESTURE,
OTHER,RIGHT
OTHER,BOTH
OTHER,RIGHT
,
HAND RAISING,RIGHT
,
OTHER,
CHIN TOUCH,RIGHT
,
,
SHRUG,
INDEX FINGER ,
,
OTHER,RIGHT
OTHER,BOTH
,
OTHER,BOTH
OTHER,BOTH
OTHER,RIGHT
OTHER,BOTH
,
 ,
,
,
,
,
,
,
